SB.spot,ACCESSION,refseq_gene_id,chromosome_number,chromosome_scaffold,stand,strat,end,gene_name,refseq_transcript_id
SB02048B2G10.f1,CK309245,100231119,6,NC_045005.1,+,31888891,31910012,EDRF1,XM_012574725.3
SB02023B2G09.f1,CK304596,100231119,6,NC_045005.1,+,31888891,31910012,EDRF1,XM_012574725.3
SB03030B1F09.f1,DV954835,100224246,13,NC_045012.1,+,16918798,16886409,CSNK1A1,XM_012574821.3
SB03039A1F03.f1,DV957547,100224246,13,NC_045012.1,+,16918798,16886409,CSNK1A1,XM_012574826.3
SB02037A2G01.f1,CK313329,100217929,7,NC_045006.1,-,5076307,5056918,SEC22A,XM_012574856.3
SB03040A1B06.f1,DV957857,100223371,13,NC_045012.1,-,10699425,10691116,PHYKPL,XM_012574863.3
SB03025A1H04.f2,DV953171,100223371,13,NC_045012.1,-,10699425,10691116,PHYKPL,XM_012574863.3
SB03042A1D10.f1,DV958572,100231307,7,NC_045006.1,+,11259813,11288178,TANK,XM_012574864.3
SB03037B1A04.f1,DV956964,100224677,7,NC_045006.1,-,3746128,3712110,LOC100224677,XM_012574865.3
SB03014B1F11.f1,DV949616,100228416,7,NC_045006.1,+,13777893,13773761,SPC25,XM_012574871.3
SB03016B1A03.f1,DV950164,100218848,7,NC_045006.1,+,10229001,10224596,LOC100218848,XM_012574891.3
SB03004B2D05.f1,DV946276,100218848,7,NC_045006.1,+,10229001,10224596,LOC100218848,XM_012574891.3
SB02015B2B01.f1,CK302460,100217927,7,NC_045006.1,+,12835894,12911247,SCN2A,XM_012574896.3
SB02048A2C12.f1,CK309031,100228461,7,NC_045006.1,+,15326091,15415569,MAP3K20,XM_012574920.3
SB03003A1F12.f1,DV945695,100221694,7,NC_045006.1,+,14949963,15039976,ITGA6,XM_012574933.3
SB03026A1E01.f1,DV953481,100229049,7,NC_045006.1,+,20333002,20309726,GPR1,XM_012574956.3
SB02013B2D02.f1,CK301958,100226188,13,NC_045012.1,+,15357695,15324986,SFXN1,XM_012574967.3
SB02013B2D08.f1,CK301962,100223285,7,NC_045006.1,+,21600790,21591568,BZW1,XM_012574973.3
SB03033A1F07.f1,DV955640,100227149,7,NC_045006.1,+,21087058,20981410,BMPR2,XM_012574978.3
SB02023B2H05.f1,CK304604,100227149,7,NC_045006.1,+,21087058,20981410,BMPR2,XM_012574978.3
SB03047B2H09.f1.A,DV960588,100222328,13,NC_045012.1,+,15929789,15891694,CPEB4,XM_012574979.3
SB02020A1F08.f1,CK316909,100222328,13,NC_045012.1,+,15929789,15891694,CPEB4,XM_012574979.3
SB03020B2F02.f1,DV951657,100221402,7,NC_045006.1,+,21579526,21585110,PPIL3,XM_012574982.3
SB02020A1G07.f1,CK316920,100221402,7,NC_045006.1,+,21579526,21585110,PPIL3,XM_012574982.3
SB03018A2G08.f1,DV950825,100220393,7,NC_045006.1,+,20971153,20939594,FAM117B,XM_012574986.3
SB02035B2D12.f1,CK312772,100220393,7,NC_045006.1,+,20971153,20939594,FAM117B,XM_012574986.3
SB02011A1H05.f1,CK312193,100225181,7,NC_045006.1,+,21424390,21414841,STRADB,XM_012574989.3
SB02006A2H08.f1,CK310608,100225181,7,NC_045006.1,-,21424390,21414841,STRADB,XM_012574989.3
SB03013B2C06.f1,DV949348,100190074,7,NC_045006.1,+,27636988,27628086,NUP35,XM_012574993.3
SB03049A1E09.f1,DV961000,100190430,7,NC_045006.1,+,29312246,29309101,DBI,XM_012574994.3
SB03002B1D09.f1,DV945498,100229089,13,NC_045012.1,+,10621416,10576835,FAM13B,XM_012575008.3
SB02025A2H03.f1.A,CK304865,100220368,7,NC_045006.1,+,31830019,31911742,R3HDM1,XM_012575017.3
SB03027B1E06.f1,DV953843,100226191,7,NC_045006.1,+,25339189,25321375,WDR75,XM_012575030.3
SB02012A2G04.f1,CK301574,100228112,13,NC_045012.1,+,12327792,12347707,G3BP1,XM_012575033.3
SB02012A2B12.f1,CK301464,100228112,13,NC_045012.1,+,12327792,12347707,G3BP1,XM_012575033.3
SB02009B1F01.f1,CK311577,100228112,13,NC_045012.1,+,12327792,12347707,G3BP1,XM_012575033.3
SB02004A2C03.f1,CK309902,100228112,13,NC_045012.1,+,12327792,12347707,G3BP1,XM_012575033.3
SB03009B2A02.f1,DV947971,100219524,13,NC_045012.1,+,17380879,17334140,AFF4,XM_012575044.3
SB02047B2A01.f1,CK308822,100219524,13,NC_045012.1,+,17380879,17334140,AFF4,XM_012575044.3
SB010007000B08,CK234415,100220383,7,NC_045006.1,+,31767232,31787678,RAB3GAP1,XM_012575045.3
SB03024A2A02.f1,DV952827,100220433,7,NC_045006.1,+,34808124,34694431,ZEB2,XM_012575048.3
SB03006B1G12.f1,DV946921,100220433,7,NC_045006.1,+,34808124,34694431,ZEB2,XM_012575048.3
SB03024A2B11.f1,DV952846,100218543,13,NC_045012.1,+,14952909,14946517,CLTB,XM_012575097.3
SB02022A2C07.f1,CK304099,100228732,8,NC_045007.1,+,21160614,21186780,KIF14,XM_012575110.3
SB03042A1H10.f1,DV958615,100222326,13,NC_045012.1,+,12158651,12142330,ANXA6,XM_012575114.3
SB02007B1E05.f1,CK310900,100229541,8,NC_045007.1,+,26275825,26508248,RABGAP1L,XM_012575124.3
SB02025A2E03.f1,CK304810,100229541,8,NC_045007.1,+,26275825,26508248,RABGAP1L,XM_012575126.3
SB02008A2F10.f1,CK311265,100229541,8,NC_045007.1,+,26275825,26508248,RABGAP1L,XM_012575127.3
SB02008B1A02.f1.M,CK311174,100226737,8,NC_045007.1,+,26348278,26360142,GPR52,XM_012575129.3
SB02033A1E06.f1,CK306066,100219462,13,NC_045012.1,+,12110935,12098809,DCTN4,XM_012575132.3
SB020001000D12,CK301339,100224828,8,NC_045007.1,+,24074106,24093336,RNF2,XM_012575149.3
SB03029B1B03.f1,DV954478,100220937,8,NC_045007.1,+,25930013,25730468,LOC100220937,XM_012575151.3
SB03007B1C02.f1,DV947220,100232015,13,NC_045012.1,+,14702059,14655056,RNF145,XM_012575156.3
SB03001A1F01.f1,DV945024,105759448,8,NC_045007.1,+,18463358,18418726,PLPPR5,XM_012575162.3
SB010005001B12,CK235277,100229262,8,NC_045007.1,+,15616886,15671739,LRRC8D,XM_012575191.3
SB03003B2A05.f1,DV945892,100228102,13,NC_045012.1,+,12995829,12985561,FAM114A2,XM_012575192.3
SB03029A1H02.f1,DV954366,100232258,8,NC_045007.1,+,18996631,18988338,EXTL2,XM_012575204.3
SB03019B1G12.f1,DV951260,100232258,8,NC_045007.1,+,18996631,18988338,EXTL2,XM_012575204.3
SB02032B1F10.f2,CK314063,100232258,8,NC_045007.1,+,18996631,18988338,EXTL2,XM_012575204.3
SB03015A2A01.f1,DV949788,100222235,8,NC_045007.1,+,14163536,14143112,SSX2IP,XM_012575221.3
SB03014A2C10.f1,DV949510,100222235,8,NC_045007.1,+,14163536,14143112,SSX2IP,XM_012575221.3
SB02048A2C08.f1,CK309028,100226049,8,NC_045007.1,+,10997761,11007473,MED8,XM_012575223.2
SB010011000E02,CK234579,100226049,8,NC_045007.1,+,10997761,11007473,MED8,XM_012575223.2
SB03007B1F05.f1,DV947259,100232836,8,NC_045007.1,+,11809314,11830531,NEXN,XM_012575229.2
SB03045A1D03.f1,DV959612,100226105,8,NC_045007.1,+,13904354,13990144,PRKACB,XM_012575234.3
SB03042B1B03.f1,DV958721,100229810,8,NC_045007.1,+,11772692,11735410,USP33,XM_012575237.3
SB03008B1F11.f1,DV947597,100225282,13,NC_045012.1,+,16435996,16467964,NEURL1B,XM_012575243.3
SB02027B2F02.f1,CK305293,100225282,13,NC_045012.1,+,16435996,16467964,NEURL1B,XM_012575243.3
SB02034B1F09.f1,CK306613,100190347,8,NC_045007.1,+,9290056,9297185,PRDX1,XM_012575248.2
SB03004B1F05.f1,DV946210,100190624,8,NC_045007.1,+,5842438,5826845,BTF3L4,XM_012575249.3
SB02032A1F06.f2,CK313936,100231805,8,NC_045007.1,+,7543258,7584999,SPATA6,XM_012575271.3
SB02003B2A01.f1,CK309680,100220326,8,NC_045007.1,+,6187856,6181621,CDKN2C,XM_012575274.3
SB02008A2G11.f1,CK311277,100232765,8,NC_045007.1,+,5858550,5907744,RAB3B,XM_012575300.3
SB03039A1B05.f1,DV957504,101233925,8,NC_045007.1,+,9435855,9439284,LOC101233925,XM_012575308.3
SB02047A1C12.f1,CK308617,100221182,8,NC_045007.1,+,2935726,2587051,NFIA,XM_012575323.3
SB02039B1A04.f1,CK314408,100221182,8,NC_045007.1,+,2935726,2587051,NFIA,XM_012575326.3
SB010004001C03,CK234282,100221182,8,NC_045007.1,+,2935726,2587051,NFIA,XM_012575326.3
SB03003B1D08.f1,DV945847,100221182,8,NC_045007.1,+,2935726,2587051,NFIA,XM_012575329.3
SB03047B1H11.f1,DV960506,100228895,8,NC_045007.1,+,6600785,6520223,ELAVL4,XM_012575338.3
SB02039B1C01.f1,CK314428,100228895,8,NC_045007.1,+,6600785,6520223,ELAVL4,XM_012575338.3
SB03042B1C09.f1,DV958737,100219363,8,NC_045007.1,+,9447560,9545226,ZSWIM5,XM_012575341.3
SB03040B2F05.f1,DV958153,100221983,13,NC_045012.1,+,9153704,9173076,DDX46,XM_012575344.3
SB03025B1G04.f2,DV953336,100221983,13,NC_045012.1,+,9153704,9173076,DDX46,XM_012575344.3
SB03021B2E09.f1,DV952009,100226097,8,NC_045007.1,+,4909729,4918036,TMEM59,XM_012575345.3
SB02025B2C06.f1,CK304903,100225657,8,NC_045007.1,+,1016252,1041689,WLS,XM_012575367.3
SB02010B1A07.f1,CK311857,100225657,8,NC_045007.1,+,1016252,1041689,WLS,XM_012575367.3
SB03034A1F01.f1.A,DV955965,100190203,8,NC_045007.1,+,28031943,28021255,VAMP4,XM_012575371.3
SB03030B2C01.f1,DV954880,100190203,8,NC_045007.1,+,28031943,28021255,VAMP4,XM_012575371.3
SB03035B2G09.f1,DV956512,100218045,8,NC_045007.1,+,27567359,27559643,PRKAB2,XM_012575391.3
SB03010B2B12.f1,DV948343,100227567,8,NC_045007.1,+,27600915,27619056,TADA1,XM_012575392.3
SB02012B1H05.f1,CK301535,100222925,13,NC_045012.1,+,5515985,5581224,WWC1,XM_012575419.3
SB02009B2F12.f1,CK311762,100190158,9,NC_045008.1,+,2195836,2208255,PARL,XM_012575431.3
SB03043A2H10.f1,DV959042,100229106,9,NC_045008.1,+,3933855,3928633,PIGX,XM_012575469.3
SB02040B1H05.f1,CK314828,100222503,9,NC_045008.1,+,5900537,5921087,C9H3orf70,XM_012575490.3
SB03002B2B11.f1,DV945565,100226339,9,NC_045008.1,+,5996320,5988789,NME9,XM_012575492.3
SB03051B2F09.f1,DV961962,100229096,9,NC_045008.1,+,6067791,6060237,DBR1,XM_012575493.3
SB03033B1B05.f1,DV955760,100229096,9,NC_045008.1,+,6067791,6060237,DBR1,XM_012575493.3
SB03044B1D03.f1,DV959433,100227330,9,NC_045008.1,+,6533840,6508352,NGEF,XM_012575529.3
SB03051A2D06.f1,DV961761,100227330,9,NC_045008.1,+,6533840,6508352,NGEF,XM_012575530.3
SB03015B2A10.f1,DV949941,100231088,9,NC_045008.1,+,4049941,4041609,ING5,XM_012575536.3
SB02033A1H02.f1,CK306097,100221456,9,NC_045008.1,+,4874830,4859337,TRA2B,XM_012575549.3
SB02016B1G06.f1,CK302774,100221456,9,NC_045008.1,+,4874830,4859337,TRA2B,XM_012575549.3
SB02021A1D11.f1,CK317221,100219592,9,NC_045008.1,+,11183815,11201257,TRPC1,XM_012575554.3
SB03012B2G05.f1,DV949055,100221501,9,NC_045008.1,+,4394718,4321555,FARP2,XM_012575555.3
SB03011A1H07.f1,DV948480,100221507,9,NC_045008.1,+,6636610,6657781,ATG16L1,XM_012575570.3
SB03030A2E09.f1,DV954744,100221507,9,NC_045008.1,+,6636610,6657781,ATG16L1,XM_012575571.3
SB010007000A01,CK234404,100225347,9,NC_045008.1,+,4076134,4096917,THAP4,XM_012575577.3
SB010003000A08,CK234193,100225347,9,NC_045008.1,+,4076134,4096917,THAP4,XM_012575577.3
SB03002B1E05.f1,DV945506,100219534,9,NC_045008.1,+,8690089,8679577,SCG2,XM_012575578.3
SB02018A2B09.f1,CK303670,100218280,9,NC_045008.1,+,18492856,18512174,CCDC39,XM_012575635.3
SB03049A1C12.f1,DV960980,100231782,9,NC_045008.1,+,15897349,15919893,MASP1,XM_012575676.3
SB02012B1G09.f1,CK301528,100223081,9,NC_045008.1,+,13406817,13412683,APOD,XM_012575679.3
SB010012000A12,CK234723,100223081,9,NC_045008.1,+,13406817,13412683,APOD,XM_012575679.3
SB03034A2A12.f1,DV955996,100221152,9,NC_045008.1,+,20646666,20220966,NLGN1,XM_012575686.3
SB03023A2B09.f1,DV952499,100221152,9,NC_045008.1,+,20646666,20220966,NLGN1,XM_012575686.3
SB03011A1A06.f1,DV948407,100221152,9,NC_045008.1,+,20646666,20220966,NLGN1,XM_012575686.3
SB03045B2D10.f1,DV959871,100219227,9,NC_045008.1,+,17751526,17684752,ATP11B,XM_012575692.3
SB010020000B07,CK235377,100219227,9,NC_045008.1,+,17751526,17684752,ATP11B,XM_012575692.3
SB03031A2C07.f1.A,DV955051,100232613,9,NC_045008.1,+,17463336,17617813,MCF2L2,XM_012575703.3
SB02007B2A07.f1,CK311005,100232613,9,NC_045008.1,+,17463336,17617813,MCF2L2,XM_012575703.3
SB02020B1E09.f1,CK317034,100222110,9,NC_045008.1,+,18617957,18721847,PEX5L,XM_012575709.3
SB02013B1C05.f1,CK301793,100222110,9,NC_045008.1,+,18617957,18721847,PEX5L,XM_012575709.3
SB02042B2G11.f1,CK307196,100221063,9,NC_045008.1,+,18935295,18950885,ZMAT3,XM_012575734.3
SB03035B1D08.f1,DV956389,100227906,9,NC_045008.1,+,21517501,21491078,PRKCI,XM_012575737.3
SB03024A2D11.f1,DV952867,100223986,9,NC_045008.1,+,23871645,23902368,IFT80,XM_012575749.3
SB03006A1F10.f1,DV946729,100222930,13,NC_045012.1,+,2644084,2609374,SEPTIN8,XM_012575826.3
SB010013001A07,CK235560,100222930,13,NC_045012.1,+,2644084,2609374,SEPTIN8,XM_012575830.3
SB010012000C04,CK234735,100222930,13,NC_045012.1,+,2644084,2609374,SEPTIN8,XM_012575830.3
SB03011A1G09.f1,DV948472,100230612,13,NC_045012.1,+,9481231,9438461,LOC100230612,XM_012575877.3
SB03035A2F09.f1,DV956327,751992,13,NC_045012.1,+,3241445,3283281,GABRA1,XM_012575906.3
SB03006A1B07.f1,DV946684,101233033,Z,NC_045027.1,+,13289828,13282108,CENPH,XM_012575970.3
SB02023A1F01.f1.A,CK304306,100222577,10,NC_045009.1,+,8749734,8760905,LYSMD2,XM_012576222.3
SB02037A2B06.f1,CK313276,100222558,13,NC_045012.1,+,7756350,7744526,HDAC3,XM_012576240.2
SB02010A2H10.f1,CK312019,100221600,14,NC_045013.1,+,16219186,16268441,CRAMP1,XM_012576478.3
SB02039B1C11.f1,CK314437,100222551,14,NC_045013.1,+,15309077,15345838,RAB40C,XM_012576506.3
SB02049B1H09.f1,CK309502,100229297,14,NC_045013.1,+,16103614,16112320,RNPS1,XM_012576526.3
SB02030A1H04.f1,CK316197,100229297,14,NC_045013.1,+,16103614,16112320,RNPS1,XM_012576526.3
SB02005B1C06.f1,CK310229,100218695,14,NC_045013.1,+,14323116,14318239,NMRAL1,XM_012576668.3
SB03006B2D09.f1,DV946972,100220374,2,NC_045000.1,+,138281213,138285270,UTP23,XM_012576838.3
SB02024A1A11.f1,CK303916,100223597,14,NC_045013.1,+,11295625,11289109,PMM2,XM_012577186.3
SB02020A2G05.f1,CK317007,100223597,14,NC_045013.1,+,11295625,11289109,PMM2,XM_012577186.3
SB010013001C09,CK235578,100230825,Z,NC_045027.1,+,2717410,2732786,HDHD2,XM_012577338.3
SB03023A1F04.f1,DV952451,100225108,Z,NC_045027.1,+,2387094,2436191,SMAD2,XM_012577354.3
SB02032A2F10.f2,CK314029,100225108,Z,NC_045027.1,+,2387094,2436191,SMAD2,XM_012577354.3
SB02034A2E05.f1,CK306508,100190008,Z,NC_045027.1,+,6609346,6410241,CPLX1,XM_012577356.3
SB03016A2C03.f1,DV950099,100190164,Z,NC_045027.1,+,6846651,6832148,CLTA,XM_012577357.3
SB02037A2D05.f1,CK313297,100230210,14,NC_045013.1,+,8873861,8932525,MYH11,XM_012577365.3
SB02043B1G11.f1,CK307429,100217973,Z,NC_045027.1,+,4091681,3991307,SLC44A1,XM_012577372.3
SB02034A2F10.f1,CK306524,100232421,Z,NC_045027.1,+,12613165,12608213,CTSL,XM_012577399.3
SB010005001D03,CK235291,100190601,Z,NC_045027.1,+,17804037,17814850,CETN3,XM_012577404.3
SB03003B1G05.f1,DV945874,100226267,Z,NC_045027.1,+,14999632,15137886,RORB,XM_012577416.3
SB02017A2D11.f1,CK303080,100218211,Z,NC_045027.1,+,25495865,25467873,RHOBTB3,XM_012577438.3
SB03032B1B06.f1,DV955442,100231250,10,NC_045009.1,+,2960808,2972459,GRAMD2A,XM_012577442.3
SB03044A2D07.f1,DV959349,100231752,Z,NC_045027.1,+,24485917,24477873,STARD4,XM_012577449.3
SB02034B1A02.f1,CK306548,100220170,Z,NC_045027.1,+,27434341,27365948,SRFBP1,XM_012577451.3
SB02032A1G12.f2.A,CK313953,100223129,Z,NC_045027.1,+,25315482,25228589,APBA1,XM_012577461.3
SB03045B1A08.f1,DV959754,100227520,Z,NC_045027.1,+,30007728,30018787,RGMB,XM_012577473.3
SB03024B2G08.f1,DV953076,100221702,Z,NC_045027.1,+,30478052,30751418,PALM2AKAP2,XM_012577477.3
SB03024B2D05.f1,DV953040,100221702,Z,NC_045027.1,+,30478052,30751418,PALM2AKAP2,XM_012577477.3
SB02006A1D01.f1,CK310447,100218856,Z,NC_045027.1,+,30176788,30166374,RIOK2,XM_012577488.3
SB03001B2G08.f1,DV945270,105760842,Z,NC_045027.1,+,38680701,38414099,SETBP1,XM_012577517.3
SB03044A2E05.f1,DV959357,100228407,Z,NC_045027.1,+,36458908,36399655,CORO2A,XM_012577523.3
SB03040A2F08.f1,DV957985,105760844,Z,NC_045027.1,+,33794738,33793418,TUSC1,XM_012577524.3
SB02006B2B05.f1,CK310754,100226520,Z,NC_045027.1,+,36535953,36523847,APTX,XM_012577527.3
SB03007A2B03.f1,DV947121,100229335,Z,NC_045027.1,+,36487936,36527454,ELP1,XM_012577532.3
SB03022B2D11.f1,DV952349,100190179,Z,NC_045027.1,+,45057261,45056363,MRPL17,XM_012577534.3
SB02017B2A09.f1,CK303129,100190179,Z,NC_045027.1,+,45057261,45056363,MRPL17,XM_012577534.3
SB02042A1B11.f1,CK306885,100190187,Z,NC_045027.1,+,45593071,45608788,SUB1,XM_012577535.3
SB02032A1D12.f2,CK313919,100190187,Z,NC_045027.1,+,45593071,45608788,SUB1,XM_012577535.3
SB02004B2B02.f1,CK310018,100190187,Z,NC_045027.1,+,45593071,45608788,SUB1,XM_012577535.3
SB03003A2C04.f1,DV945744,100192321,Z,NC_045027.1,+,44956815,44970356,TPM2,XM_012577539.3
SB03050B1D10.f1,DV961504,751606,Z,NC_045027.1,+,39191553,39203661,SYT4,XM_012577541.3
SB03017B2F03.f1,DV950636,751606,Z,NC_045027.1,+,39191553,39203661,SYT4,XM_012577541.3
SB02030A2G06.f1,CK316345,751606,Z,NC_045027.1,+,39191553,39203661,SYT4,XM_012577541.3
SB03035B1F06.f1,DV956409,100227110,14,NC_045013.1,+,6006806,5950459,TOM1L2,XM_012577548.3
SB03042B2B10.f1,DV958814,100218554,Z,NC_045027.1,+,48499960,48510637,PTGER4,XM_012577596.3
SB02049A2F06.f1,CK309411,100218454,Z,NC_045027.1,+,41891373,42599538,CELF4,XM_012577600.3
SB02005A1G02.f1,CK310149,100218454,Z,NC_045027.1,+,41891373,42599538,CELF4,XM_012577607.3
SB03002B2A03.f1,DV945547,100230979,Z,NC_045027.1,+,44137476,44147898,PHF24,XM_012577629.3
SB02045A1D10.f1,CK307948,100230979,Z,NC_045027.1,+,44137476,44147898,PHF24,XM_012577629.3
SB02023A1D12.f1,CK304293,100231976,Z,NC_045027.1,+,46707512,46676784,LMBRD2,XM_012577631.3
SB02007B1A09.f1,CK310865,100231976,Z,NC_045027.1,+,46707512,46676784,LMBRD2,XM_012577631.3
SB03045A2H05.f1,DV959740,100230922,Z,NC_045027.1,+,49455189,49426962,PAIP1,XM_012577634.3
SB03026A1G06.f1,DV953504,100230922,Z,NC_045027.1,+,49455189,49426962,PAIP1,XM_012577634.3
SB03045B1H06.f1,DV959826,100222361,Z,NC_045027.1,+,46188803,46274248,RAI14,XM_012577635.3
SB03037B1F02.f1,DV957018,100218450,Z,NC_045027.1,+,49413387,49392345,TMEM267,XM_012577636.3
SB03031B2B11.f1,DV955217,100219436,Z,NC_045027.1,+,43201825,43246539,UBAP1,XM_012577640.3
SB02020B2A02.f1,CK317115,100226829,Z,NC_045027.1,+,56377810,56410781,SREK1,XM_012577674.3
SB010020000C09,CK235502,100228341,Z,NC_045027.1,+,62232282,62168328,JMY,XM_012577688.3
SB03020B1E11.f1,DV951570,100223523,Z,NC_045027.1,+,61884761,61835474,THBS4,XM_012577692.3
SB03006B2F02.f1,DV946988,100223523,Z,NC_045027.1,-,61884761,61835474,THBS4,XM_012577692.3
SB03017B2D03.f1,DV950614,100224554,3,NC_045001.1,+,76061758,76092700,LOC100224554,XM_012577699.3
SB03007A1D12.f1,DV947064,100224554,3,NC_045001.1,+,76061758,76092700,LOC100224554,XM_012577699.3
SB03003B1C05.f1,DV945834,105760872,Z,NC_045027.1,+,60249582,60385194,PRUNE2,XM_012577703.3
SB02005B2C07.f1,CK310350,105760876,Z,NC_045027.1,-,67483203,67497176,MLANA,XM_012577726.3
SB03032B2F01.f1,DV955552,100232177,5,NC_045004.1,+,1236683,1228130,FIBIN,XM_012577739.3
SB03004A1B02.f1,DV945988,100232177,5,NC_045004.1,+,1236683,1228130,FIBIN,XM_012577739.3
SB03049B1D11.f1,DV961164,100220659,Z,NC_045027.1,+,65380576,65307843,MAP1B,XM_012577742.3
SB03007B1A02.f1,DV947198,100220659,Z,NC_045027.1,+,65380576,65307843,MAP1B,XM_012577742.3
SB02048A1B04.f1,CK308928,100220659,Z,NC_045027.1,+,65380576,65307843,MAP1B,XM_012577742.3
SB02038A1H01.f1,CK313609,100220659,Z,NC_045027.1,+,65380576,65307843,MAP1B,XM_012577742.3
SB02011A2G05.f1,CK312354,100220659,Z,NC_045027.1,+,65380576,65307843,MAP1B,XM_012577742.3
SB03020B2B09.f1,DV951619,100223515,Z,NC_045027.1,+,73150273,73037783,SLC24A2,XM_012577743.3
SB03019A1B02.f1,DV951031,100223515,Z,NC_045027.1,+,73150273,73037783,SLC24A2,XM_012577744.3
SB02027A2H12.f1,CK305229,100223133,Z,NC_045027.1,+,63924884,64004978,CERT1,XM_012577763.3
SB02049B1F11.f1,CK309481,100219395,Z,NC_045027.1,+,64175294,64213773,FAM169A,XM_012577764.3
SB02027B2F11.f1,CK305302,100228951,14,NC_045013.1,+,6913001,6914344,FAHD1,XM_012577776.3
SB03021A1B05.f1,DV951702,100223838,Z,NC_045027.1,+,29636091,29606687,AP3S1,XM_012577817.3
SB02041B1D02.f1,CK315097,100221244,14,NC_045013.1,-,7335079,7363609,TRAF7,XM_012577830.3
SB03050B1H08.f1,DV961547,100190299,14,NC_045013.1,+,55225,42847,UBE2I,XM_012577839.3
SB02038B1B04.f1,CK313712,100221233,14,NC_045013.1,+,4066218,4037777,IQCE,XM_012577857.3
SB02016A1G09.f1,CK302612,100218381,14,NC_045013.1,+,1456340,1496849,LMTK2,XM_012577867.3
SB03010B1G06.f1,DV948304,100230780,14,NC_045013.1,+,5064566,5040697,FBXL18,XM_012577888.3
SB03045A1E03.f1,DV959623,105760895,10,NC_045009.1,+,3614612,3610848,NMB,XM_012577889.3
SB03017A2F03.f1,DV950473,105760895,10,NC_045009.1,+,3614612,3610848,NMB,XM_012577889.3
SB03049A2C07.f1,DV961063,100227045,14,NC_045013.1,+,139301,89383,PDPK1,XM_012577902.3
SB02047B2H07.f1,CK308908,100218442,14,NC_045013.1,+,2779658,2730371,ADAP1,XM_012577912.3
SB02038A1G05.f1,CK313601,100219897,15,NC_045014.1,+,13317999,13436083,ADGRD1,XM_012577935.3
SB03020B2B12.f1,DV951622,100225651,15,NC_045014.1,+,13582887,13620668,SFSWAP,XM_012577940.3
SB02034B1H10.f1,CK306635,100189946,15,NC_045014.1,+,11211257,11207296,GPN3,XM_012577946.3
SB02014A2D03.f2,CK303497,100189946,15,NC_045014.1,+,11211257,11207296,GPN3,XM_012577946.3
SB010008000F06,CK234497,100190734,15,NC_045014.1,+,10527476,10531739,VPS29,XM_012577948.3
SB02014B2E01.f1,CK302107,100232389,15,NC_045014.1,+,10562465,10576403,RSRC2,XM_012578000.3
SB03011B2H09.f1,DV948743,100218036,15,NC_045014.1,+,11594670,11609618,ATP6V0A2,XM_012578003.3
SB02007A1H05.f1,CK310835,100190691,15,NC_045014.1,+,10074127,10077983,RPL6,XM_012578010.3
SB03006B2A04.f1,DV946936,100233145,10,NC_045009.1,+,18596981,18591567,RPL4,XM_012578030.3
SB03028B2A01.f1,DV954202,100222810,15,NC_045014.1,+,8236092,8227299,NOC4L,XM_012578038.3
SB03030A1D07.f1,DV954659,100230248,10,NC_045009.1,+,4380444,4734976,RORA,XM_012578059.3
SB02036B2H01.f1,CK313162,100230248,10,NC_045009.1,+,4380444,4734976,RORA,XM_012578059.3
SB02024A1E06.f1.A,CK315168,100230248,10,NC_045009.1,+,4380444,4734976,RORA,XM_012578059.3
SB03014B2G09.f1,DV949706,100229471,15,NC_045014.1,+,3799841,3785206,TMEM233,XM_012578083.3
SB02016B1F05.f1,CK302684,100231257,10,NC_045009.1,+,5808846,5652376,TJP1,XM_012578092.3
SB03042A2F12.f1,DV958683,100232416,15,NC_045014.1,+,5444891,5499181,PI4KA,XM_012578097.3
SB03014B2B06.f1,DV949652,100232416,15,NC_045014.1,+,5444891,5499181,PI4KA,XM_012578097.3
SB03012A2B04.f1.A,DV948844,100232416,15,NC_045014.1,+,5444891,5499181,PI4KA,XM_012578097.3
SB010006000D08,CK234367,100228504,15,NC_045014.1,+,5425464,5392919,CLTCL1,XM_012578099.3
SB02039B2E03.f1,CK314535,100228504,15,NC_045014.1,+,5425464,5392919,CLTCL1,XM_012578100.3
SB02004A2F05.f1.A,CK309987,100192322,10,NC_045009.1,+,3900034,3879976,TPM1,XM_012578104.3
SB03011A2G01.f1,DV948551,100225681,15,NC_045014.1,+,8520717,8524656,XBP1,XM_012578114.3
SB02024B1H01.f1,CK315328,100219972,15,NC_045014.1,+,2205859,2314726,CABIN1,XM_012578115.3
SB03005B1A07.f1,DV946495,100219923,15,NC_045014.1,+,5713780,5731396,UBE2L3,XM_012578119.3
SB02026B2E03.f1,CK315773,100222751,15,NC_045014.1,+,5337295,5292239,DGCR2,XM_012578121.3
SB02040A2E03.f1,CK314704,100224762,15,NC_045014.1,+,9790040,9809219,SVOP,XM_012578124.3
SB02036B1B10.f1,CK313032,100224762,15,NC_045014.1,+,9790040,9809219,SVOP,XM_012578124.3
SB03022B1B01.f1,DV952231,100224700,15,NC_045014.1,+,3038307,3062826,PISD,XM_012578128.3
SB02005B2H11.f1,CK310411,100220856,15,NC_045014.1,+,2791000,2691511,BCR,XM_012578131.3
SB03005B2A03.f1,DV946579,100227658,15,NC_045014.1,-,8532071,8543044,LOC100227658,XM_012578143.3
SB02027A2D01.f1,CK305174,100192322,10,NC_045009.1,+,3900034,3879976,TPM1,XM_012578148.3
SB02013B2H07.f1,CK302006,100217768,10,NC_045009.1,+,10066404,10038442,SECISBP2L,XM_012578155.3
