refseq_gene_id,chromosome_number,chromosome_scaffold,stand,start,end,gene_name,refseq_transcript_id,accession_number,newid,SASS_fdr.clone,SASS_fold.clone
100221911,8,NC_045007.1,+,23858161,23964083,C8H1orf21,XM_030279462.2,CK314972,SB02041A1H09.f1,1.199096772,0.03612745
100229989,13,NC_045012.1,+,11449673,11464794,RUFY1,XM_032750874.1,CK315000,SB02041A2C02.f1,0.813847224,0.03612745
100218858,18,NC_045016.1,+,8502674,8507079,GALK1,XM_002190089.4,CK315082,SB02041B1B07.f1,0.852598664,0.029899468
100220311,10,NC_045009.1,+,20373129,20432760,IQGAP1,XM_030281110.2,CK315125,SB02024A1B05.f1,0.720611557,0.026905468
100226143,19,NC_045017.1,+,4714515,4745861,SLC43A2,XM_030288076.2,CK315282,SB02024A2D07.f1,0.818971376,0.01704408
100230762,3,NC_045001.1,+,13228282,13248825,E2F6,XM_002196448.5,CK315321,SB02024B1G06.f1,1.294598063,0.042954801
100225651,15,NC_045014.1,+,13582887,13620668,SFSWAP,XM_002187639.4,CK315397,SB02024B2B05.f1,0.642746889,0.029992391
100221258,1A,NC_044999.1,+,23289430,23337868,ANKRD26,XM_030257202.2,CK315447,SB02024B2F09.f1,0.71842459,0.011554629
100222291,3,NC_045001.1,+,111273725,111279920,LOC100222291,XM_012572191.3,CK315455,SB02024B2G07.f1,0.792840261,0.045921439
100220308,3,NC_045001.1,-,66105067,65943552,FMN2,XM_030268218.2,CK315495,SB02026A1B12.f1,0.766298192,0.022042591
100222350,Z,NC_045027.1,+,44917403,44910322,CREB3,XM_002190987.5,CK315522,SB02026A1E03.f1,1.303524362,0.043855131
100219225,17,NC_045015.1,+,11047574,11056761,ZBTB43,XM_030286921.2,CK315740,SB02026B2A04.f1,0.905213257,0.040535519
115498407,1A,NC_044999.1,+,9344019,9303261,LOC115498407,XR_004366741.1,CK315853,SB02028A1C05.f1,0.49021659,0.038424123
115495556,5,NC_045004.1,-,38323516,38317065,CLEC14A,XM_032748832.1,CK315857,SB02028A1C10.f1,0.787646003,0.033281466
100222189,6,NC_045005.1,+,14978294,15025329,PPP3CB,XM_030276883.2,CK315975,SB02028B1E08.f1,0.607257862,0.048142815
100221640,6,NC_045005.1,+,1537014,1566711,CCAR1,XM_030275604.2,CK316007,SB02028B1H11.f1,0.739766079,0.042186621
100228188,24,NC_045022.1,+,202548,183617,NFRKB,XM_012570800.3,CK316107,SB02028B2A03.f1,0.670224175,0.022254369
100220980,2,NC_045000.1,+,21497217,21629351,ADAM22,XM_030264630.2,CK316283,SB02030B1G09.f1,0.796580408,0.012939964
100222368,1,NC_044998.1,+,16612440,16432834,EPHA3,XM_030263983.2,CK316292,SB02030B1H08.f1,0.77204425,0.026591206
100220451,4,NC_045002.1,+,67122075,67152865,RUFY3,XM_030272196.2,CK316336,SB02030A2F03.f1,0.854203602,0.041031681
100224290,28,NC_045026.1,+,5225513,5223375,LOC100224290,XM_002197269.4,CK316419,SB02030B2A05.f1,0.839139465,0.049221544
100227564,7,NC_045006.1,+,16972461,16995206,HNRNPA3,XM_030277547.2,CK316484,SB02030B2H08.f1,0.879267917,0.042443987
100220502,2,NC_045000.1,+,92654125,92623126,NR4A3,XM_030265859.2,CK316530,SB02019A1D12.f1,2.276816437,0.003292567
100220384,20,NC_045018.1,+,112651,98572,NFS1,XM_012570150.2,CK316660,SB02019B1G04.f1,0.800955678,0.029140735
100220638,2,NC_045000.1,+,27239334,27048035,THSD7A,XM_030264736.2,CK316745,SB02019A2G04.f1,0.620099306,0.025737746
100219652,20,NC_045018.1,+,14836820,14925288,SULF2,XM_030288583.2,CK316790,SB02019B2B09.f1,0.758797012,0.014078721
100222154,3,NC_045001.1,+,69986951,69966784,TAF5L,XM_030268303.2,CK316808,SB02019B2D05.f1,1.360636261,0.036677867
100227463,2,NC_045000.1,+,147185697,146922868,FAM135B,XM_032747064.1,CK316941,SB02020B1A04.f1,0.704033744,0.003292567
115496279,8,NC_045007.1,+,29052882,29062915,LOC115496279,XR_003961754.2,CK316953,SB02020B1B05.f1,0.708495198,0.030947187
100225951,4A,NC_045003.1,+,167352,151818,RBMX,XR_004367856.1,CK317019,SB02020B1D04.f1,0.730474376,0.038867893
100231954,Z,NC_045027.1,+,47942518,47866367,RICTOR,XM_030258691.2,CK317250,SB02021A1G04.f1,0.825658913,0.027186993
100229382,Z,NC_045027.1,+,37799537,37735111,RNF165,XM_030257729.2,CK317260,SB02021A1A05.f1,0.781753579,0.027029171
100230145,1A,NC_044999.1,+,51144421,51106851,TIMP3,XM_002199506.5,CK317419,SB02021A2G04.f1,0.780692568,0.037411355
115495320,5,NC_045004.1,+,59809404,59823165,PYGL,XM_030273201.2,DV944979,SB03001A1A09.f1,1.232922293,0.038867893
100217797,1A,NC_044999.1,+,9049616,9364173,PCLO,XM_030291251.2,DV944982,SB03001A1A12.f1,0.725363474,0.027460562
100221893,1,NC_044998.1,+,3897049,3866175,LTN1,XM_002189994.5,DV945060,SB03001A2B04.f1,0.862756578,0.037576659
100230240,4,NC_045002.1,+,59300334,59143016,WDFY3,XM_030270343.2,DV945140,SB03001B1C05.f1,0.77042663,0.006857532
100225179,Z,NC_045027.1,+,45524857,45491223,MTMR12,XM_002191417.5,DV945163,SB03001B1E08.f1,0.771442625,0.028425493
100232012,2,NC_045000.1,+,10349860,10043489,DIP2C,XM_030264293.2,DV945191,SB03001B1H02.f1,1.200451709,0.042443987
100222961,5,NC_045004.1,+,39266334,39269050,FOS,XM_002200534.4,DV945276,SB03001B2H03.f1,2.560708986,0.001915505
100222565,21,NC_045019.1,+,4189671,3925068,LOC100222565,XM_032752088.1,DV945308,SB03002A1B12.f1,0.654612164,0.022238316
100232524,5,NC_045004.1,+,18269702,18323060,PPP6R3,XM_030274074.2,DV945346,SB03002A1F08.f1,0.789548935,0.039842849
100219294,2,NC_045000.1,+,124189450,124217089,ZBTB10,XM_030266359.2,DV945440,SB03002A2G05.f1,0.804193609,0.039480566
100224552,20,NC_045018.1,+,14977370,14925989,NCOA3,XM_030288580.2,DV945461,SB03002B1A03.f1,0.802346578,0.048065207
100227193,2,NC_045000.1,+,6565186,6374083,KMT2C,XM_030264238.2,DV945555,SB03002B2A12.f1,0.681493525,0.010324291
100226791,5,NC_045004.1,+,56014018,55979757,HIF1A,XR_004368167.1,DV945683,SB03003A1E11.f1,0.831256323,0.025207529
100226618,3,NC_045001.1,+,52201053,52535514,LAMA2,XM_030267887.2,DV945898,SB03003B2A11.f1,0.725524172,0.003019114
100224378,17,NC_045015.1,+,686163,432515,EXD3,XM_032751447.1,DV945926,SB03003B2D08.f1,1.130208176,0.048939364
100225619,4A,NC_045003.1,+,10016272,9708637,TENM1,XM_030272629.2,DV945952,SB03003B2F12.f1,0.788741841,0.038160486
100218848,7,NC_045006.1,+,10229001,10224596,LOC100218848,XM_012574891.3,DV946276,SB03004B2D05.f1,1.421041134,0.040303859
100224750,2,NC_045000.1,+,124500234,124388344,PAG1,XR_003958943.2,DV946369,SB03005A1E03.f1,0.77766241,0.046707562
115498407,1A,NC_044999.1,+,9344019,9303261,LOC115498407,XR_004366739.1,DV946374,SB03005A1E09.f1,0.651872944,0.01098082
100227002,18,NC_045016.1,+,4089706,4068417,ZNF207,XR_003963192.2,DV946407,SB03005A1H09.f1,0.66925429,0.036677867
100218811,18,NC_045016.1,+,9778629,9746680,MBTD1,XM_030287557.2,DV946521,SB03005B1C12.f1,0.780245187,0.026753619
100220208,1,NC_044998.1,+,28457792,28508484,RIMKLB,XM_012569930.3,DV946534,SB03005B1E01.f1,0.674807019,0.017485991
100223275,12,NC_045011.1,+,259939,330005,PLXND1,XM_030283481.2,DV946582,SB03005B2A06.f1,0.867455844,0.038867893
100231650,1,NC_044998.1,+,26775579,26785124,ENO2,XM_002196480.4,DV946586,SB03005B2A12.f1,1.331169256,0.011554629
100225951,4A,NC_045003.1,+,167352,151818,RBMX,XM_030272364.2,DV946751,SB03006A1H08.f1,0.709690936,0.040328245
100218635,1A,NC_044999.1,+,45838930,45838081,LOC100218635,XM_002193157.4,DV946795,SB03006A2D08.f1,1.246625484,0.025737746
100224420,3,NC_045001.1,+,43312967,43376541,AFG1L,XM_030267699.2,DV946850,SB03006B1A06.f1,0.734731992,0.00732806
100229347,4A,NC_045003.1,+,15971011,16095654,LOC100229347,XM_012573084.3,DV947020,SB03006B2H12.f1,0.659955822,0.043804189
100227573,1,NC_044998.1,+,94606951,94652742,CLCN4,XM_030280659.2,DV947028,SB03007A1A08.f1,0.665936898,0.040611984
100232703,25,NC_045023.1,+,88404,96613,CCT3,XM_002191201.5,DV947066,SB03007A1E03.f1,1.241301575,0.034028941
100224566,7,NC_045006.1,+,17265209,17361700,OSBPL6,XM_030277562.2,DV947131,SB03007A2C01.f1,0.677145156,0.020035223
100231217,3,NC_045001.1,+,81466229,81448696,AARS2,XM_002187155.5,DV947278,SB03007B1H01.f1,1.228396791,0.042443987
100190548,14,NC_045013.1,+,5320204,5312155,PDAP1,NM_001245370.1,DV947303,SB03007B2B05.f1,1.204010243,0.03612745
100225419,3,NC_045001.1,+,77921783,78092245,BIRC6,XM_030268489.2,DV947319,SB03007B2C11.f1,0.830693615,0.043804189
100218359,21,NC_045019.1,+,1052052,1119865,PEX14,XM_030289108.2,DV947335,SB03007B2E04.f1,1.132868104,0.016836121
100220711,4A,NC_045003.1,+,4722395,4771894,BRWD3,XM_030272441.2,DV947358,SB03007B2G07.f1,0.736301343,0.040328245
100008579,13,NC_045012.1,+,18414596,18417546,EGR1,NM_001080957.1,DV947454,SB03008A1H11.f1.C,1.779654321,0.002464845
105760855,Z,NC_045027.1,+,46790106,46754063,RANBP3L,XM_032744257.1,DV947483,SB03008A2C07.f1,0.758382836,0.049126565
100221182,8,NC_045007.1,+,2935726,2587051,NFIA,XM_004174320.4,DV947519,SB03008A2G08.f1,0.843002414,0.043216167
100222630,Z,NC_045027.1,+,73413255,73292892,MLLT3,XM_030257497.2,DV947638,SB03008B2B12.f1,0.776170289,0.015579669
100227585,11,NC_045010.1,+,20983258,20992109,KARS1,XM_002197154.4,DV947729,SB03009A1C05.f1,1.076743303,0.048608229
100220208,1,NC_044998.1,+,28457792,28508484,RIMKLB,XM_030268173.2,DV947744,SB03009A1D10.f1,0.689191736,0.036174911
100221333,19,NC_045017.1,+,692043,689589,WSB1,XM_032751766.1,DV947756,SB03009A1E10.f1,0.74086376,0.039003616
100232433,15,NC_045014.1,+,10417576,10355574,CUX2,XM_030285587.2,DV947842,SB03009A2E04.f1,0.832197041,0.048688476
100220693,18,NC_045016.1,+,9261243,9256893,LRRC59,XM_030287055.2,DV948113,SB03010A1E10.f1,1.24242682,0.040453963
100232595,3,NC_045001.1,+,102767454,102776813,MTARC2,XM_002190301.5,DV948184,SB03010A2D05.f1,0.644880796,0.020310928
100038820,19,NC_045017.1,+,3173254,3160715,TRPV1,XM_002195904.5,DV948216,SB03010A2G03.f1,0.739015371,0.030715886
100220368,7,NC_045006.1,+,31830019,31911742,R3HDM1,XM_030278095.2,DV948405,SB03011A1A04.f1,0.618811502,0.036710192
100231708,17,NC_045015.1,+,11058233,11072542,ZBTB34,XM_030286918.2,DV948474,SB03011A1G11.f1,0.79843251,0.02373222
100221457,1A,NC_044999.1,+,48848371,48867165,DDX17,XM_002195698.4,DV948487,SB03011A2A04.f1.A,0.847732483,0.044251811
100229553,5,NC_045004.1,+,8913221,8883522,PTDSS2,XM_030273613.2,DV948757,SB03012A1A11.f1,0.84479405,0.03612745
100222269,1A,NC_044999.1,-,19223613,19244314,PANX2,XM_030256359.2,DV948901,SB03012A2H01.f1,1.307720869,0.04103126
100221354,19,NC_045017.1,+,6827273,6816902,NUP88,XM_030288023.2,DV949017,SB03012B2D02.f1,0.788717058,0.045777189
100231490,15,NC_045014.1,+,5444709,5436729,SNAP29,XM_002199151.5,DV949096,SB03013A1C02.f1,0.809793312,0.03463656
100217620,9,NC_045008.1,+,9984761,10020169,AGFG1,XM_002198397.5,DV949130,SB03013A1F04.f1,0.655902574,0.026905468
100223365,18,NC_045016.1,+,2150110,2158523,TIMP2,XM_030287103.2,DV949378,SB03013B2F01.f1,0.775446944,0.024196412
100227497,7,NC_045006.1,+,12690555,12613515,COBLL1,XM_030277392.2,DV949729,SB03015A1A10.f1,0.733316962,0.017233104
105760693,15,NC_045014.1,+,3925348,3879260,SRRM4,XM_030285324.2,DV949752,SB03015A1D07.f1,0.820895474,0.036677867
100224986,1A,NC_044999.1,+,65416267,65253613,PLEKHA5,XM_030263543.2,DV949888,SB03015B1D02.f1,0.781350986,0.040253994
100224256,20,NC_045018.1,+,428350,490768,RALGAPB,XM_030288940.2,DV950169,SB03016B1A09.f1,0.876150629,0.039889042
100225688,15,NC_045014.1,+,11580256,11575298,EIF2B1,XM_002190086.4,DV950247,SB03016B1H11.f1,1.341821518,0.006857532
100227995,3,NC_045001.1,+,62026785,61940546,ARFGEF3,XM_030268129.2,DV950302,SB03016B2F02.f1,0.820532299,0.040328245
100217681,1A,NC_044999.1,+,48139485,48008212,TNRC6B,XM_030262960.2,DV950390,SB03017A1F02.f1,0.794278873,0.045889293
100225544,7,NC_045006.1,+,6934669,6896624,MRAS,XM_032749362.1,DV950469,SB03017A2E09.f1,1.217603882,0.036508265
116806601,7,NC_045006.1,+,10221581,10224055,STK16,XM_030277332.2,DV950687,SB03018A1C03.f1,1.202607578,0.038424123
100220188,9,NC_045008.1,+,17029225,17063023,DVL3,XM_030280625.2,DV950692,SB03018A1C09.f1.A,0.653370545,0.042954801
100228169,13,NC_045012.1,+,17422027,17416682,GNPDA1,XM_032750899.1,DV950712,SB03018A1E08.f1,1.321927951,0.025207529
100230300,26,NC_045024.1,+,506724,500826,DDX20,XM_030291996.2,DV950719,SB03018A1F04.f1,1.240976377,0.040328245
100218736,6,NC_045005.1,+,1459888,1530716,TET1,XM_030275596.2,DV950805,SB03018A2E12.f1,0.682367787,0.023092492
100229067,28,NC_045026.1,+,3353771,3351505,KXD1,XM_030256681.2,DV950814,SB03018A2F09.f1,1.209689688,0.029929802
100223785,23,NC_045021.1,+,6525868,6541461,TMEM200B,XM_030290564.2,DV950846,SB03018B1A07.f1,0.742577555,0.003483562
100218413,Z,NC_045027.1,+,65023684,64941769,FCHO2,XM_030259087.2,DV951133,SB03019A2C12.f1,0.763698152,0.013111124
116808653,8,NC_045007.1,+,18243615,18195470,LOC116808653,XR_004368575.1,DV951427,SB03020A1G12.f1,0.63127261,0.027667976
115493340,1A,NC_044999.1,+,45854544,45862165,LOC115493340,XR_004366631.1,DV951550,SB03020B1D01.f1,0.756885281,0.034882499
115491595,Un,NULL,+,NULL,NULL,LOC115491595,XM_032745861.1,DV951835,SB03021A2E11.f1,0.814353311,0.046021774
100221429,1,NC_044998.1,+,46634804,46744435,TBC1D4,XM_012569688.3,DV951874,SB03021B1A07.f1,0.74150856,0.024651152
100231874,14,NC_045013.1,+,7024390,7021464,RPS2,XM_030284734.2,DV951936,SB03021B1F11.f1,1.182525668,0.045889293
100218462,1,NC_044998.1,+,15461514,15081105,LOC100218462,XM_032746402.1,DV951948,SB03021B1H02.f1,0.754518339,0.036508265
100230725,26,NC_045024.1,+,630323,631480,C26H1orf74,XM_012570985.3,DV951954,SB03021B1H08.f1.A,1.361354177,0.022742311
100220889,1,NC_044998.1,+,89032769,88914424,ATP11A,XM_030279937.2,DV952005,SB03021B2E05.f1,0.85734657,0.04180945
100225596,Z,NC_045027.1,+,31023170,31068354,PTBP3,XM_030257693.2,DV952071,SB03022A1B12.f1,0.812865461,0.017485991
100226188,13,NC_045012.1,+,15357695,15324986,SFXN1,XR_003962677.2,DV952081,SB03022A1C12.f1,1.733056885,0.018050392
100228281,Z,NC_045027.1,+,17422710,17436675,ARRDC3,XM_002188518.5,DV952166,SB03022A2C11.f1,1.544904236,0.03428742
100219263,9,NC_045008.1,+,21517531,21548712,PHC3,XM_032750070.1,DV952244,SB03022B1C03.f1,0.812999661,0.048565097
100232759,8,NC_045007.1,+,8866070,8860379,LURAP1,XM_030278837.2,DV952469,SB03023A1G10.f1,1.43158926,0.020517388
100226630,Z,NC_045027.1,+,5639643,5720405,PIGG,XM_030258731.2,DV952571,SB03023B1A06.f1,0.711595782,0.00732806
100231563,29,NC_045955.1,+,139955,145733,NR4A1,XM_030259361.2,DV952638,SB03023B1G06.f1,1.543705744,0.046021774
100190134,17,NC_045015.1,+,9539638,9537183,NDUFA8,XM_030286272.2,DV952728,SB03023B2H01.f1,1.123145787,0.045847979
100220108,5,NC_045004.1,+,7769508,7509405,SHANK2,XM_030273515.2,DV952844,SB03024A2B09.f1,0.640666829,0.043268391
100219552,1A,NC_044999.1,+,46043590,46065567,FAM234B,XM_002191582.5,DV952871,SB03024A2E03.f1,0.619389229,0.023032732
100230002,19,NC_045017.1,+,106867,94152,KIAA0753,XM_012568759.3,DV952926,SB03024B1B02.f1,0.745685018,0.036677867
116806641,W,NC_045028.1,+,16980597,16915177,LOC116806641,XM_032744678.1,DV952960,SB03024B1E03.f1,0.807433316,0.04639887
105758650,1,NC_044998.1,+,80325543,80351143,ASMTL,XM_032749193.1,DV953031,SB03024B2C08.f1,1.989416831,0.036505926
100190025,17,NC_045015.1,+,9790868,9716210,STRBP,XM_030286852.2,DV953091,SB03025A1A01.f2,0.697355791,0.038424123
100228281,Z,NC_045027.1,+,17422710,17436675,ARRDC3,XM_002188518.5,DV953237,SB03025A2F03.f2,1.558241263,0.040535519
100218363,10,NC_045009.1,+,216771,128725,HERC1,XM_030281878.2,DV953258,SB03025A2H03.f2,0.75309021,0.046021774
100008579,13,NC_045012.1,+,18414596,18417546,EGR1,NM_001080957.1,DV953620,SB03026B1F05.f1,2.107903937,0.003590575
100219899,1,NC_044998.1,+,94510412,94607445,WWC3,XM_002188716.5,DV953631,SB03026B1G08.f1,0.854362395,0.029926861
100224237,4A,NC_045003.1,-,18538771,18515672,OGT,XM_030272951.2,DV953736,SB03027A1B09.f1,0.709355361,0.036677867
100230822,3,NC_045001.1,+,64532906,65061791,SASH1,XM_030268187.2,DV953858,SB03027B1F11.f1,0.822827557,0.046021774
115495259,4A,NC_045003.1,+,15135387,15124588,TMLHE,XM_030272795.1,DV954084,SB03028A2E01.f1,0.784336345,0.042071273
100227568,23,NC_045021.1,+,2877195,2866140,FUCA1,XM_002196521.5,DV954246,SB03028B2D12.f1,1.303914898,0.049221544
115498390,25,NC_045023.1,+,1705270,1712556,NDUFS2,XM_032752892.1,DV954260,SB03028B2F03.f1,1.398038327,0.03939463
100227394,3,NC_045001.1,+,79741259,79726015,DESI2,XM_030268563.2,DV954299,SB03029A1A11.f1,1.132234742,0.042443987
100227089,1A,NC_044999.1,+,26898166,27042092,NRCAM,XM_032744534.1,DV954363,SB03029A1G10.f1,0.774236321,0.034736042
100222332,13,NC_045012.1,+,18088701,18117189,TCERG1,XM_030284045.2,DV954424,SB03029A2E05.f1,0.522177021,0.04180945
116806940,W,NC_045028.1,+,8583958,8577993,LOC116806940,XR_004365984.1,DV954783,SB03030B1A05.f1,0.671001846,0.03612745
115491750,Un,NULL,+,NULL,NULL,FARSA,XM_032745663.1,DV954811,SB03030B1D01.f1,1.202245432,0.045999138
100230638,2,NC_045000.1,+,49182488,49130433,LOC100230638,XM_030265277.2,DV954876,SB03030B2B09.f1,0.587020445,0.044966254
100222624,8,NC_045007.1,+,19658501,19672510,RNPC3,XM_030279298.2,DV954877,SB03030B2B10.f1,0.682912196,0.025096805
100190203,8,NC_045007.1,+,28031943,28021255,VAMP4,XM_012575371.3,DV954880,SB03030B2C01.f1,1.307332707,0.030909343
100222770,6,NC_045005.1,+,34774926,34813931,MSH4,XM_030276658.2,DV954985,SB03031A1E08.f1,0.717369385,0.006809529
100225308,24,NC_045022.1,+,249129,202844,PRDM10,XM_012570801.3,DV955008,SB03031A1G08.f1,0.813979044,0.03612745
100231217,3,NC_045001.1,+,81466229,81448696,AARS2,XM_002187155.5,DV955011,SB03031A1G11.f1,0.735859644,0.033150012
100189998,1,NC_044998.1,+,36181633,36164824,SMCO4,NM_001164338.1,DV955016,SB03031A1H05.f1,1.391799242,0.026905468
100223969,5,NC_045004.1,+,33726224,33582755,NOVA1,XM_030274573.2,DV955066,SB03031A2D11.f1.M,0.725980971,0.040453963
100230284,4A,NC_045003.1,+,10937384,10966468,LOC100230284,XM_002192462.5,DV955105,SB03031A2H05.f1,0.812188952,0.027617203
100229586,5,NC_045004.1,+,27724474,27786017,MAP3K9,XR_003960750.2,DV955186,SB03031B1G07.f1,0.808421074,0.03926055
116806990,W,NC_045028.1,+,3198530,3101794,LOC116806990,XM_032744792.1,DV955462,SB03032B1D07.f1,0.756188973,0.007950602
100218291,2,NC_045000.1,+,97303093,97050934,DOK6,XM_030265926.2,DV955498,SB03032B1H12.f1,0.687760408,0.022042591
100221825,1A,NC_044999.1,+,34495995,34454617,ZFC3H1,XM_030259774.2,DV955568,SB03032B2G12.f1,0.788263314,0.044705993
100225616,1,NC_044998.1,+,19724511,19742508,SFT2D2,XR_003958644.1,DV955598,SB03033A1B10.f1,0.542003099,0.040328245
100228910,6,NC_045005.1,+,15043707,15039060,EIF3F,XM_030276885.2,DV955656,SB03033A1H01.f1,1.173168108,0.030667418
100220502,2,NC_045000.1,+,92654125,92623126,NR4A3,XM_030265859.2,DV955688,SB03033A2C05.f1,2.891729956,0.002640306
100226630,Z,NC_045027.1,+,5639643,5720405,PIGG,XM_030258732.2,DV955711,SB03033A2E06.f1,0.78401491,0.029992391
100222843,11,NC_045010.1,-,20125696,20128386,NIP7,XM_002196157.5,DV955784,SB03033B1D05.f1,1.211645783,0.02107218
100229914,8,NC_045007.1,+,3514532,3516523,JUN,XM_002198429.5,DV955814,SB03033B1G05.f1,1.483884819,0.042847075
100220937,8,NC_045007.1,+,25930013,25730468,LOC100220937,XM_002189920.5,DV955844,SB03033B2B02.f1,0.829601689,0.043730098
100224387,9,NC_045008.1,+,10054390,10056667,CCL20,XM_030280196.2,DV955883,SB03033B2E09.f1,0.714453432,0.026591206
100220065,5,NC_045004.1,+,39056797,39104729,YLPM1,XM_030274690.2,DV955917,SB03033B2H11.f1,0.81431257,0.040917308
115494369,3,NC_045001.1,-,64083075,64070561,LOC115494369,XR_003959371.2,DV955986,SB03034A1H11.f1,0.475123853,0.015184968
100219282,17,NC_045015.1,+,9993650,9845945,DENND1A,XM_012578373.3,DV956029,SB03034A2E11.f1,0.820709309,0.031885731
116808445,5,NC_045004.1,+,31847061,31827540,LOC116808445,XR_004367922.1,DV956054,SB03034B1B05.f1,0.788457985,0.047029694
100224904,5,NC_045004.1,-,39191651,39197415,ZC2HC1C,XM_030274707.2,DV956141,SB03034B2D07.f1,0.852921971,0.012939964
100223962,20,NC_045018.1,+,1973906,1929823,MMP24,XM_002187101.5,DV956181,SB03035A1A05.f1,1.49821166,0.02447921
100218736,6,NC_045005.1,+,1459888,1530716,TET1,XM_030275596.2,DV956250,SB03035A1G05.f1,0.644135846,0.010405186
100228689,3,NC_045001.1,+,82911570,82723235,RIN2,XM_030268631.2,DV956383,SB03035B1D01.f1,0.747979313,0.019502705
100231227,10,NC_045009.1,+,13866515,13794745,AKAP13,XM_032750318.1,DV956459,SB03035B2B11.f1,0.852320445,0.006857532
100229398,3,NC_045001.1,+,5981699,5595100,KLHL29,XM_030269453.2,DV956490,SB03035B2E10.f1,0.817410948,0.038193827
100219713,14,NC_045013.1,+,7758137,7799543,TNRC6A,XM_030285196.2,DV956539,SB03036A2B01.f1,0.814389554,0.030715886
100221390,13,NC_045012.1,+,14953670,14967735,FAF2,XM_002197429.5,DV956574,SB03036A2E05.f1,1.406813424,0.023032732
100231135,3,NC_045001.1,+,40198037,40544325,GRIK2,XM_012572713.3,DV956587,SB03036A2F07.f1,0.799356033,0.010836933
100221390,13,NC_045012.1,+,14953670,14967735,FAF2,XM_002197429.5,DV956612,SB03036A2H11.f1,1.292366459,0.047532313
100231135,3,NC_045001.1,+,40198037,40544325,GRIK2,XM_012572713.3,DV956735,SB03036B2D03.f1,0.772065112,0.025945611
100228731,3,NC_045001.1,+,101576136,101456989,GPATCH2,XM_002191087.5,DV956940,SB03037A2G03.f1,0.74392,0.007950602
100218936,15,NC_045014.1,+,1894158,1914818,FBXO21,XR_003962978.2,DV957031,SB03037B1G04.f1,1.342440783,0.038203694
100224150,14,NC_045013.1,+,89208,57172,LOC100224150,XM_032751120.1,DV957052,SB03037B2A02.f1,0.492133426,0.006505617
100229328,7,NC_045006.1,+,12265588,12161070,FIGN,XM_030277389.2,DV957247,SB03038A2C02.f1,0.551445278,0.046021774
100225029,Z,NC_045027.1,+,21384513,21402672,MACIR,XM_032744233.1,DV957309,SB03038A2H07.f1,0.825676113,0.019520773
100217516,19,NC_045017.1,+,7467967,7483361,EIF4H,XM_030288174.2,DV957323,SB03038B1A10.f1,1.156343606,0.048565409
101233002,1,NC_044998.1,-,80393921,80355377,LOC101233002,XM_032749195.1,DV957327,SB03038B1B02.f1,0.758960845,0.036508265
101233925,8,NC_045007.1,+,9435855,9439284,LOC101233925,XM_012575308.3,DV957504,SB03039A1B05.f1,1.508008068,0.045671572
100219837,7,NC_045006.1,+,3643730,3629062,LOC100219837,XM_002187013.4,DV957612,SB03039A2D01.f1,1.326813734,0.039889042
100228078,Z,NC_045027.1,+,49455248,49498215,NNT,XM_030257315.2,DV957772,SB03039B2B08.f1,0.782821367,0.027029171
100224708,6,NC_045005.1,+,21067391,21062201,UBTD1,XM_002194634.3,DV957934,SB03040A2A07.f1,1.225384011,0.017485991
100217644,1,NC_044998.1,+,41062398,40912397,GUCY1A2,XM_030270145.2,DV958101,SB03040B2A10.f1,0.745347727,0.040328245
100222326,13,NC_045012.1,+,12158651,12142330,ANXA6,XM_030283855.2,DV958216,SB03041A1C10.f1,1.491632739,0.026905468
100222042,3,NC_045001.1,+,27037446,27479917,ADGRB3,XM_030269499.2,DV958230,SB03041A1E02.f1,0.597890902,0.017485991
115498256,23,NC_045021.1,+,3696403,3700265,TRNP1,XM_030290383.2,DV958232,SB03041A1E04.f1,1.302947655,0.025737746
116807017,W,NULL,+,NULL,NULL,LOC116807017,XR_004366057.1,DV958277,SB03041A2A05.f1,0.711845808,0.045555867
100224938,3,NC_045001.1,+,28040886,28050856,SDHAF4,XM_002192633.4,DV958289,SB03041A2B06.f1,0.823290802,0.010324291
100190352,4,NC_045002.1,+,12867387,12844957,NSG1,NM_001245527.1,DV958323,SB03041A2E07.f1,1.459405199,0.040611984
100222893,5,NC_045004.1,+,28674417,28639203,EXD2,XM_030274469.2,DV958333,SB03041A2F05.f1,1.230538018,0.049853657
100222356,3,NC_045001.1,+,109112039,108973469,MEIS1,XM_030269245.2,DV958343,SB03041A2G04.f1,0.637483922,0.022238316
100222326,13,NC_045012.1,+,12158651,12142330,ANXA6,XM_012575114.3,DV958615,SB03042A1H10.f1,1.522072147,0.02260809
100221204,1A,NC_044999.1,+,22112099,22141152,FAM3C,XM_030257030.2,DV958889,SB03043A1B04.f1,1.198975026,0.042847075
100223418,1,NC_044998.1,+,35350005,35744069,FAT3,XM_030269237.2,DV958961,SB03043A2A01.f1,0.650027788,0.027614137
116809170,20,NC_045018.1,-,11550435,11567660,LOC116809170,XR_004369569.1,DV959052,SB03043B1A09.f1,0.654266452,0.036677867
105760897,10,NC_045009.1,+,15806563,15758852,LOC105760897,XR_004368899.1,DV959215,SB03043B2H03.f1,0.608020324,0.027300938
100223352,Z,NC_045027.1,+,47746401,47690987,LIFR,XM_002195588.5,DV959279,SB03044A1E12.f1,0.815223001,0.009189026
105758727,20,NC_045018.1,+,8641795,8635531,RGS19,XM_030288383.2,DV959778,SB03045B1D02.f1,1.221571686,0.02440277
